period,oversold,overbought,total_return,sharpe_ratio,max_drawdown,total_trades
25,20,60,6.997611701580951,0.575053886706218,-0.04495752341014065,5
25,20,65,6.624513850444917,0.5679814911321066,0.0,5
25,20,70,7.188125281644944,0.5888062558284703,0.0,5
25,20,75,7.5563217777533875,0.6023539270134542,0.0,5
25,20,80,9.617387653304073,0.6818649288017253,0.0,5
25,25,60,5.345737818676446,0.5946219766884456,-0.11760358135650453,7
25,25,65,5.795770240525599,0.6437857227166494,0.0,7
25,25,70,6.495012745994381,0.7045236612734712,0.0,7
25,25,75,6.986269002171235,0.7452798740346039,0.0,7
25,25,80,15.26558881604635,0.8613514922677769,0.0,7
25,30,60,0.916940988472946,0.4498200073182769,-0.23892064584461326,9
25,30,65,1.2984331208173918,0.5229668620032012,-0.11770831903643059,9
25,30,70,1.8148928707976226,0.6129310579811205,-0.11068251229287973,9
25,30,75,2.3798356757325196,0.6919649526881431,-0.10397340005177806,9
25,30,80,7.4287595774618005,0.640495547456227,-0.04970795355795501,7
25,35,60,1.4745703697966521,0.6606823703954775,-0.22268755808384172,17
25,35,65,3.2658631232738435,0.9211035522075943,-0.1795629576508497,17
25,35,70,1.4954052016240489,0.6527025113897202,-0.24616430734329092,13
25,35,75,0.9010165159511936,0.534527279878536,-0.22949814129659693,11
25,35,80,4.782990541093842,0.7293180176111218,-0.1734973049743303,9
25,40,60,0.3896905891058472,0.23592101837851304,-0.30729112810091025,21
25,40,65,1.5492636804552367,0.6209963369234177,-0.22034758466018275,19
25,40,70,1.7246257412181922,0.6120010761544391,-0.32146625257410427,15
25,40,75,3.48930072772805,0.6330016088244972,-0.2746256915554486,13
25,40,80,20.15389794916375,0.9307054600903236,-0.22660134982524832,11
30,20,60,133.14639695916807,2283.0166514239304,0.0,3
30,20,65,133.28460843744608,1067.5972990726434,0.0,3
30,20,70,133.42989034277124,544.0917056626137,0.0,3
30,20,75,133.54000455878366,349.60153007848146,0.0,3
30,20,80,134.03087664177815,80.51141915393315,0.0,3
30,25,60,4.6608862420219594,0.5016375016131595,0.0,5
30,25,65,4.968976496470377,0.5128011991175265,0.0,5
30,25,70,5.29282759578604,0.5251557966426101,0.0,5
30,25,75,5.614906713852625,0.5403065440542625,0.0,5
30,25,80,7.323728629346596,0.6522569896533639,0.0,5
30,30,60,4.843614756516425,0.5649605453453711,-0.005836335793382022,7
30,30,65,5.398538352389721,0.6212500355076377,0.0,7
30,30,70,6.122642601674454,0.6966700133226316,0.0,7
30,30,75,7.5443369160361655,0.802143517602726,0.0,7
30,30,80,16.48071184740346,0.8915492893519934,0.0,7
30,35,60,1.4170428621939781,0.6230588944748281,-0.1691387776826098,13
30,35,65,3.257077357076342,0.8917505827122043,-0.11999771336416541,13
30,35,70,1.0470362283589878,0.5559898544122563,-0.11235921970370208,9
30,35,75,1.3161177368608188,0.4839900730710763,-0.0738895887123878,7
30,35,80,5.679187921246918,0.6945872718710799,0.0,7
30,40,60,0.8822672451976273,0.4509530274718122,-0.1691387776826098,17
30,40,65,1.781661910807211,0.6121675637005287,-0.34613171875534926,15
30,40,70,0.5402994460513358,0.3340390807570548,-0.322072673249475,11
30,40,75,1.0461066711185905,0.4644577465265171,-0.2956391657187185,9
30,40,80,4.916413224909225,0.757340053309999,-0.09052149856136377,9
