datetime,price,size,commission,type,pnl,pnlcomm,signal
2015-11-12,309.9,472.16916587941216,292.65044901205965,buy,0.0,-292.65044901205965,1
2015-11-13,337.17,472.16916587941216,318.4025553191228,sell,12876.053153531568,12557.650598212445,-1
2015-11-15,333.02,467.7454452865073,311.5371763786253,buy,0.0,-311.5371763786253,1
2015-11-17,330.95,467.7454452865073,309.60071023513916,sell,-968.233071743045,-1277.833781978184,-1
2015-11-23,324.24,480.22537276974515,311.4165497337243,buy,0.0,-311.4165497337243,1
2015-11-30,371.47999999999996,480.22537276974515,356.78824295300984,sell,22685.84660964276,22329.058366689747,-1
2015-12-04,361.48,460.63013456811717,333.01716208736605,buy,0.0,-333.01716208736605,1
2015-12-12,452.99,460.63013456811717,417.3216893160228,sell,42152.2636143284,41734.94192501238,-1
2015-12-13,436.08,437.7912420359053,381.8240096540352,buy,0.0,-381.8240096540352,1
2015-12-16,464.5,437.7912420359053,406.7080638513561,sell,12442.027098660445,12035.319034809088,-1
2015-12-17,455.63,444.4724400343241,405.0299557056782,buy,0.0,-405.0299557056782,1
2015-12-18,455.87000000000006,444.4724400343241,405.24330247689466,sell,106.67338560824282,-298.56991686865183,-1
2015-12-22,438.07,463.07723143445367,405.72048554898225,buy,0.0,-405.72048554898225,1
2015-12-26,455.51,463.07723143445367,421.872619381416,sell,8076.066916216863,7654.194296835447,-1
2016-01-16,360.0,557.2585217411618,401.22613565363645,buy,0.0,-401.22613565363645,1
2016-01-17,387.28,557.2585217411618,431.6301605998342,sell,15202.012473098875,14770.382312499041,-1
2016-01-18,380.16,595.4212549720578,452.710688580355,buy,0.0,-452.710688580355,1
2016-01-20,376.77,595.4212549720578,448.67373247164437,sell,-2018.478054355306,-2467.1517868269502,-1
2016-01-23,382.85,587.0773743988776,449.52514557722066,buy,0.0,-449.52514557722066,1
2016-01-24,386.37,587.0773743988776,453.6581702929887,sell,2066.5123578840576,1612.854187591069,-1
2016-02-02,371.79,601.6560611907095,447.3794139801878,buy,0.0,-447.3794139801878,1
2016-02-03,373.05,601.6560611907095,448.8955872543884,sell,758.0866371002921,309.19104984590376,-1
2016-02-04,368.4,614.473496855885,452.744072483416,buy,0.0,-452.744072483416,1
2016-02-05,388.0,614.473496855885,476.8314335601667,sell,12043.680538375367,11566.849104815201,-1
2016-02-08,375.0,615.486244577788,461.6146834333411,buy,0.0,-461.6146834333411,1
2016-02-11,379.34,615.486244577788,466.95710403627623,sell,2671.210301467596,2204.2531974313197,-1
2016-02-12,377.98,622.6884764684769,470.7275806711098,buy,0.0,-470.7275806711098,1
2016-02-13,383.0,622.6884764684769,476.97937297485333,sell,3125.8961518717406,2648.916778896887,-1
2016-02-15,405.5,583.7297684035639,473.40484217529024,buy,0.0,-473.40484217529024,1
2016-02-16,399.5,583.7297684035639,466.4000849544475,sell,-3502.3786104213796,-3968.778695375827,-1
2016-02-17,407.51,566.2222277626336,461.48244007110156,buy,0.0,-461.48244007110156,1
2016-02-22,438.33,566.2222277626336,496.3843781903903,sell,17450.969059644354,16954.584681453965,-1
2016-02-24,419.1,565.1662278691732,473.72233219994104,buy,0.0,-473.72233219994104,1
2016-02-26,423.38,565.1662278691732,478.5601551105011,sell,2418.911455280031,1940.35130016953,-1
2016-03-02,433.33,560.589076787862,485.8401292889685,buy,0.0,-485.8401292889685,1
2016-03-03,422.4,560.589076787862,473.58565207038583,sell,-6127.238609291351,-6600.824261361737,-1
2016-03-05,408.18,576.3407644605109,470.50154647498266,buy,0.0,-470.50154647498266,1
2016-03-08,413.96,576.3407644605109,477.1640457121461,sell,3331.249618581758,2854.085572869612,-1
2016-04-14,423.6,565.9621280766246,479.4831149065164,buy,0.0,-479.4831149065164,1
2016-04-15,424.4,565.9621280766246,480.3886543114389,sell,452.7697024612571,-27.618951850181816,-1
2016-04-17,430.18,550.7404354409105,473.83504103594174,buy,0.0,-473.83504103594174,1
2016-04-20,435.7,550.7404354409105,479.9152154432094,sell,3040.087203633797,2560.1719881905874,-1
2016-04-21,441.99,538.984233011437,476.4512822974501,buy,0.0,-476.4512822974501,1
2016-05-02,452.99,538.984233011437,488.30893542370177,sell,5928.826563125796,5440.517627702095,-1
2016-05-03,444.06,539.9802058840174,479.56722044971355,buy,0.0,-479.56722044971355,1
2016-05-06,448.5,539.9802058840174,484.3622446779636,sell,2397.512114125042,1913.1498694470783,-1
2016-05-27,452.07,534.5644003933951,483.3210569716843,buy,0.0,-483.3210569716843,1
2016-05-28,470.58,534.5644003933951,503.11063107424775,sell,9894.787051281746,9391.6764202075,-1
2016-05-30,517.6,477.3525268281182,494.155335772468,buy,0.0,-494.155335772468,1
2016-06-14,703.81,477.3525268281182,671.9309638137956,sell,88887.81402066388,88215.88305685009,-1
2016-06-15,685.25,414.1575575042376,567.6029325595576,buy,0.0,-567.6029325595576,1
2016-06-17,767.37,414.1575575042376,635.6241698040536,sell,34010.618622248,33374.99445244395,-1
2016-06-18,745.0,420.8088526524993,627.0051904522239,buy,0.0,-627.0051904522239,1
2016-06-19,753.47,420.8088526524993,634.1336924161573,sell,3564.250981966674,2930.1172895505165,-1
2016-06-23,602.82,535.2357553914858,645.301636130191,buy,0.0,-645.301636130191,1
2016-06-24,622.59,535.2357553914858,666.4648578983704,sell,10581.610884089663,9915.146026191293,-1
2016-07-07,674.7,498.8950647790746,673.2090004128833,buy,0.0,-673.2090004128833,1
2016-07-09,663.0,498.8950647790746,661.5348558970529,sell,-5837.0722579151625,-6498.607113812215,-1
2016-07-11,648.77,501.717771416178,650.9988771233476,buy,0.0,-650.9988771233476,1
2016-07-13,663.52,501.717771416178,665.7995513801249,sell,7400.337128388579,6734.537577008454,-1
2016-08-03,540.03,639.2738493941198,690.454113776613,buy,0.0,-690.454113776613,1
2016-08-06,572.98,639.2738493941198,732.5822604516856,sell,21064.073337536247,20331.49107708456,-1
2016-08-18,570.91,614.7258286138308,701.9062456278443,buy,0.0,-701.9062456278443,1
2016-08-20,572.98,614.7258286138308,704.4512105583057,sell,1272.4824652306852,568.0312546723795,-1
2016-08-25,577.65,614.2424280243222,709.6342770964993,buy,0.0,-709.6342770964993,1
2016-08-27,577.92,614.2424280243222,709.9659680076325,sell,165.84545556659577,-544.1205124410367,-1
2016-08-28,567.51,619.822815870732,703.5112924695983,buy,0.0,-703.5112924695983,1
2016-08-29,573.2,619.822815870732,710.5648761142073,sell,3526.7918223044835,2816.226946190276,-1
2016-09-01,570.75,620.9922276476249,708.8626278597637,buy,0.0,-708.8626278597637,1
2016-09-02,571.05,620.9922276476249,709.2352231963523,sell,186.29766829428263,-522.9375549020697,-1
2016-09-03,572.0,618.2332877363306,707.2588811703622,buy,0.0,-707.2588811703622,1
2016-09-04,596.25,618.2332877363306,737.2431956255742,sell,14992.157227606047,14254.914031980472,-1
2016-09-07,608.93,591.5175838689956,720.385604690695,buy,0.0,-720.385604690695,1
2016-09-09,625.67,591.5175838689956,740.189613398629,sell,9902.00435396703,9161.814740568401,-1
2016-09-10,622.01,584.4776946734385,727.1019417276509,buy,0.0,-727.1019417276509,1
2016-09-11,621.65,584.4776946734385,726.681117787486,sell,-210.41197008243762,-937.0930878699236,-1
2016-09-12,604.08,603.0250442040395,728.5507374055525,buy,0.0,-728.5507374055525,1
2016-09-13,606.4,603.0250442040395,731.3487736106591,sell,1399.018102553382,667.6693289427229,-1
2016-10-05,607.19,602.2580623306859,731.3701457331384,buy,0.0,-731.3701457331384,1
2016-10-06,608.01,602.2580623306859,732.3578489553606,sell,493.8516111111385,-238.50623784422214,-1
2016-10-09,614.34,592.5488529100488,728.0529245935189,buy,0.0,-728.0529245935189,1
2016-10-12,638.3,592.5488529100488,756.4478656249684,sell,14197.470515724737,13441.022650099769,-1
2016-10-21,628.05,588.7294112173888,739.5030134301621,buy,0.0,-739.5030134301621,1
2016-11-01,697.04,588.7294112173888,820.7358975899374,sell,40616.44207988767,39795.70618229773,-1
2016-11-02,726.6,539.3253103867152,783.7475410539745,buy,0.0,-783.7475410539745,1
2016-11-05,702.95,539.3253103867152,758.2374538726829,sell,-12755.04359064583,-13513.281044518513,-1
2016-11-07,709.92,541.5823993544931,768.9603538994834,buy,0.0,-768.9603538994834,1
2016-11-09,708.17,541.5823993544931,767.0648155017426,sell,-947.7691988704028,-1714.8340143721452,-1
2016-11-12,716.39,531.0739426493576,760.9121235491466,buy,0.0,-760.9121235491466,1
2016-11-20,750.09,531.0739426493576,796.7065072837133,sell,17897.19186728337,17100.485359999657,-1
2016-11-28,727.32,533.5780541176694,776.1639806417265,buy,0.0,-776.1639806417265,1
2016-12-04,762.97,533.5780541176694,814.2080959003164,sell,19022.057629294868,18207.84953339455,-1
2016-12-07,758.97,528.082454425399,801.5974808704902,buy,0.0,-801.5974808704902,1
2017-01-05,1114.38,528.082454425399,1176.9690511251524,sell,187685.7851273311,186508.81607620596,-1
2017-01-10,896.09,549.1400288225349,984.1577768551706,buy,0.0,-984.1577768551706,1
2017-01-11,905.05,549.1400288225349,993.9983661716703,sell,4920.294658249884,3926.296292078214,-1
2017-01-12,778.7,682.6647459374589,1063.1820753229986,buy,0.0,-1063.1820753229986,1
2017-01-13,807.51,682.6647459374589,1102.5172179839149,sell,19667.57133045816,18565.054112474245,-1
